Query Name,Hit Contig ID,Hit length,Nb. HSPs,Score ,E Value ,Align. length,Identity,Query Start Position,Query End Position,Query frame,Query Coverage,Hit Start Position,Hit End Position,Hit frame,Hit coverage,,,,,,,,,,,,,,,,,,,,,,,,,
Ars-DIR2_1_-3096_-2977,Utg197116_LN:i:505497_RC:i:33_XO:i:0_pilon,515723,2,56,2.00E-21,96,86.50%,25,120,1,80%,212662,212568,-1,0%,,,,,,,,,,,,,,,,,,,,,,,,,
Ars-DIR2_1_-3096_-2977,Utg197026_LN:i:765058_RC:i:70_XO:i:0_pilon,766698,3,111,5.00E-52,120,97.50%,1,120,1,100%,665971,666090,1,0%,,,,,,,,,,,,,,,,,,,,,,,,,
Ars-DIR2_1_-3096_-2977,Utg197026_LN:i:765058_RC:i:70_XO:i:0_pilon,766698,3,110,2.00E-51,120,97.50%,1,120,1,100%,674942,674824,-1,0%,,,,,,,,,,,,,,,,,,,,,,,,,
Ars-DIR2_1_-3096_-2977,Utg197026_LN:i:765058_RC:i:70_XO:i:0_pilon,766698,3,52,3.00E-19,110,82.70%,11,120,1,91.70%,722653,722761,1,0%,,,,,,,,,,,,,,,,,,,,,,,,,
Ars-DIR2_1_-3096_-2977,Utg196790_LN:i:727037_RC:i:60_XO:i:0_pilon,732432,2,111,5.00E-52,120,97.50%,1,120,1,100%,107505,107624,1,0%,,,,,,,,,,,,,,,,,,,,,,,,,
Ars-DIR2_1_-3096_-2977,Utg196790_LN:i:727037_RC:i:60_XO:i:0_pilon,732432,2,71,9.00E-30,89,93.30%,32,120,1,74.20%,577919,578007,1,0%,,,,,,,,,,,,,,,,,,,,,,,,,
Ars-DIR2_1_-3096_-2977,Utg196784_LN:i:445088_RC:i:41_XO:i:0_pilon,441800,1,111,5.00E-52,120,97.50%,1,120,1,100%,196297,196178,-1,0%,,,,,,,,,,,,,,,,,,,,,,,,,
Ars-DIR2_1_-3096_-2977,Utg196724_LN:i:210206_RC:i:25_XO:i:0_pilon,211112,2,111,5.00E-52,121,97.50%,1,120,1,100%,22112,22232,1,0.10%,,,,,,,,,,,,,,,,,,,,,,,,,
Ars-DIR2_1_-3096_-2977,Utg196724_LN:i:210206_RC:i:25_XO:i:0_pilon,211112,2,71,9.00E-30,83,95.20%,32,114,1,69.20%,193185,193267,1,0%,,,,,,,,,,,,,,,,,,,,,,,,,
Ars-DIR2_1_-3096_-2977,Utg196470_LN:i:652099_RC:i:69_XO:i:0_pilon,651725,1,111,5.00E-52,120,97.50%,1,120,1,100%,636201,636082,-1,0%,,,,,,,,,,,,,,,,,,,,,,,,,
Ars-DIR2_1_-3096_-2977,Utg196420_LN:i:888378_RC:i:91_XO:i:0_pilon,895448,2,111,5.00E-52,120,97.50%,1,120,1,100%,554644,554525,-1,0%,,,,,,,,,,,,,,,,,,,,,,,,,
Ars-DIR2_1_-3096_-2977,Utg196420_LN:i:888378_RC:i:91_XO:i:0_pilon,895448,2,99,3.00E-45,120,94.20%,1,120,1,100%,857746,857865,1,0%,,,,,,,,,,,,,,,,,,,,,,,,,
Ars-DIR2_1_-3096_-2977,Utg196168_LN:i:1167937_RC:i:100_XO:i:0_pilon,1191372,4,111,5.00E-52,120,97.50%,1,120,1,100%,767748,767867,1,0%,,,,,,,,,,,,,,,,,,,,,,,,,
Ars-DIR2_1_-3096_-2977,Utg196168_LN:i:1167937_RC:i:100_XO:i:0_pilon,1191372,4,100,7.00E-46,118,94.90%,3,120,1,98.30%,1044062,1044179,1,0%,,,,,,,,,,,,,,,,,,,,,,,,,
Ars-DIR2_1_-3096_-2977,Utg196168_LN:i:1167937_RC:i:100_XO:i:0_pilon,1191372,4,50,4.00E-18,53,98.10%,68,120,1,44.20%,857817,857869,1,0%,,,,,,,,,,,,,,,,,,,,,,,,,
Ars-DIR2_1_-3096_-2977,Utg196168_LN:i:1167937_RC:i:100_XO:i:0_pilon,1191372,4,38,2.00E-11,58,89.70%,3,60,1,48.30%,33798,33851,1,0%,,,,,,,,,,,,,,,,,,,,,,,,,
Ars-DIR2_1_-3096_-2977,Utg201962_LN:i:209682_RC:i:20_XO:i:0_pilon,209383,1,108,2.00E-50,120,96.70%,1,120,1,100%,57740,57621,-1,0.10%,,,,,,,,,,,,,,,,,,,,,,,,,
Ars-DIR2_1_-3096_-2977,Utg201826_LN:i:349882_RC:i:11_XO:i:0_pilon,357898,1,108,2.00E-50,120,96.70%,1,120,1,100%,326322,326441,1,0%,,,,,,,,,,,,,,,,,,,,,,,,,
Ars-DIR2_1_-3096_-2977,Utg200588_LN:i:247473_RC:i:17_XO:i:0_pilon,251833,3,108,2.00E-50,120,96.70%,1,120,1,100%,209408,209289,-1,0%,,,,,,,,,,,,,,,,,,,,,,,,,
Ars-DIR2_1_-3096_-2977,Utg200588_LN:i:247473_RC:i:17_XO:i:0_pilon,251833,3,90,3.00E-40,120,91.70%,1,120,1,100%,38702,38821,1,0%,,,,,,,,,,,,,,,,,,,,,,,,,
Ars-DIR2_1_-3096_-2977,Utg200588_LN:i:247473_RC:i:17_XO:i:0_pilon,251833,3,58,2.00E-22,110,84.50%,11,120,1,91.70%,38897,39005,1,0%,,,,,,,,,,,,,,,,,,,,,,,,,
Ars-DIR2_1_-3096_-2977,Utg200446_LN:i:274758_RC:i:24_XO:i:0_pilon,285583,1,108,2.00E-50,120,96.70%,1,120,1,100%,36316,36435,1,0%,,,,,,,,,,,,,,,,,,,,,,,,,
Ars-DIR2_1_-3096_-2977,Utg200054_LN:i:45693_RC:i:9_XO:i:0_pilon,43098,1,108,2.00E-50,120,96.70%,1,120,1,100%,25211,25092,-1,0.30%,,,,,,,,,,,,,,,,,,,,,,,,,
Ars-DIR2_1_-3096_-2977,Utg199626_LN:i:240519_RC:i:8_XO:i:0_pilon,231925,3,108,2.00E-50,120,96.70%,1,120,1,100%,82467,82586,1,0.10%,,,,,,,,,,,,,,,,,,,,,,,,,
Ars-DIR2_1_-3096_-2977,Utg199626_LN:i:240519_RC:i:8_XO:i:0_pilon,231925,3,55,7.00E-21,110,83.60%,11,120,1,91.70%,82663,82770,1,0%,,,,,,,,,,,,,,,,,,,,,,,,,
Ars-DIR2_1_-3096_-2977,Utg199626_LN:i:240519_RC:i:8_XO:i:0_pilon,231925,3,41,4.00E-13,44,97.70%,1,44,1,36.70%,79522,79565,1,0%,,,,,,,,,,,,,,,,,,,,,,,,,
Ars-DIR2_1_-3096_-2977,Utg199496_LN:i:317855_RC:i:23_XO:i:0_pilon,314127,1,108,2.00E-50,120,96.70%,1,120,1,100%,231304,231423,1,0%,,,,,,,,,,,,,,,,,,,,,,,,,
Ars-DIR2_1_-3096_-2977,Utg199478_LN:i:159806_RC:i:17_XO:i:0_pilon,163506,1,108,2.00E-50,120,96.70%,1,120,1,100%,143515,143396,-1,0.10%,,,,,,,,,,,,,,,,,,,,,,,,,
Ars-DIR2_1_-3096_-2977,Utg198442_LN:i:158982_RC:i:9_XO:i:0_pilon,153831,1,108,2.00E-50,120,96.70%,1,120,1,100%,95221,95102,-1,0.10%,,,,,,,,,,,,,,,,,,,,,,,,,
Ars-DIR2_1_-3096_-2977,Utg198008_LN:i:377876_RC:i:25_XO:i:0_pilon,381733,1,108,2.00E-50,120,96.70%,1,120,1,100%,272449,272568,1,0%,,,,,,,,,,,,,,,,,,,,,,,,,
Ars-DIR2_1_-3096_-2977,Utg197852_LN:i:546140_RC:i:45_XO:i:0_pilon,554578,2,108,2.00E-50,120,96.70%,1,120,1,100%,545064,545183,1,0%,,,,,,,,,,,,,,,,,,,,,,,,,
Ars-DIR2_1_-3096_-2977,Utg197852_LN:i:546140_RC:i:45_XO:i:0_pilon,554578,2,52,3.00E-19,110,82.70%,11,120,1,91.70%,545260,545367,1,0%,,,,,,,,,,,,,,,,,,,,,,,,,
Ars-DIR2_1_-3096_-2977,Utg197648_LN:i:196829_RC:i:20_XO:i:0_pilon,197716,2,108,2.00E-50,120,96.70%,1,120,1,100%,55422,55303,-1,0.10%,,,,,,,,,,,,,,,,,,,,,,,,,
Ars-DIR2_1_-3096_-2977,Utg197648_LN:i:196829_RC:i:20_XO:i:0_pilon,197716,2,94,2.00E-42,106,96.20%,1,106,1,88.30%,127127,127232,1,0.10%,,,,,,,,,,,,,,,,,,,,,,,,,
Ars-DIR2_1_-3096_-2977,Utg197608_LN:i:781116_RC:i:84_XO:i:0_pilon,784802,2,108,2.00E-50,120,96.70%,1,120,1,100%,15065,15184,1,0%,,,,,,,,,,,,,,,,,,,,,,,,,
Ars-DIR2_1_-3096_-2977,Utg197608_LN:i:781116_RC:i:84_XO:i:0_pilon,784802,2,105,1.00E-48,120,95.80%,1,120,1,100%,749878,749997,1,0%,,,,,,,,,,,,,,,,,,,,,,,,,
Ars-DIR2_1_-3096_-2977,Utg197460_LN:i:775000_RC:i:51_XO:i:0_pilon,772574,1,108,2.00E-50,120,96.70%,1,120,1,100%,324367,324248,-1,0%,,,,,,,,,,,,,,,,,,,,,,,,,
Ars-DIR2_1_-3096_-2977,Utg197384_LN:i:108624_RC:i:14_XO:i:0_pilon,108929,1,108,2.00E-50,120,96.70%,1,120,1,100%,64112,64231,1,0.10%,,,,,,,,,,,,,,,,,,,,,,,,,
Ars-DIR2_1_-3096_-2977,Utg197244_LN:i:688594_RC:i:63_XO:i:0_pilon,686617,2,108,2.00E-50,120,96.70%,1,120,1,100%,553097,552978,-1,0%,,,,,,,,,,,,,,,,,,,,,,,,,
Ars-DIR2_1_-3096_-2977,Utg197244_LN:i:688594_RC:i:63_XO:i:0_pilon,686617,2,49,2.00E-17,80,87.50%,41,120,1,66.70%,552869,552791,-1,0%,,,,,,,,,,,,,,,,,,,,,,,,,
Ars-DIR2_1_-3096_-2977,Utg197100_LN:i:1462186_RC:i:115_XO:i:0_pilon,1465710,2,108,2.00E-50,120,96.70%,1,120,1,100%,1415777,1415896,1,0%,,,,,,,,,,,,,,,,,,,,,,,,,
Ars-DIR2_1_-3096_-2977,Utg197100_LN:i:1462186_RC:i:115_XO:i:0_pilon,1465710,2,58,2.00E-22,79,91.10%,42,120,1,65.80%,98840,98762,-1,0%,,,,,,,,,,,,,,,,,,,,,,,,,
Ars-DIR2_1_-3096_-2977,Utg197096_LN:i:809114_RC:i:74_XO:i:0_pilon,812845,1,108,2.00E-50,121,96.70%,1,120,1,100%,752115,752235,1,0%,,,,,,,,,,,,,,,,,,,,,,,,,
Ars-DIR2_1_-3096_-2977,Utg196966_LN:i:804025_RC:i:70_XO:i:0_pilon,824978,3,108,2.00E-50,120,96.70%,1,120,1,100%,819836,819717,-1,0%,,,,,,,,,,,,,,,,,,,,,,,,,
Ars-DIR2_1_-3096_-2977,Utg196966_LN:i:804025_RC:i:70_XO:i:0_pilon,824978,3,62,9.00E-25,74,94.60%,47,120,1,61.70%,772874,772801,-1,0%,,,,,,,,,,,,,,,,,,,,,,,,,
Ars-DIR2_1_-3096_-2977,Utg196966_LN:i:804025_RC:i:70_XO:i:0_pilon,824978,3,49,2.00E-17,110,81.80%,11,120,1,91.70%,819318,819210,-1,0%,,,,,,,,,,,,,,,,,,,,,,,,,
Ars-DIR2_1_-3096_-2977,Utg196850_LN:i:412892_RC:i:17_XO:i:0_pilon,406793,1,108,2.00E-50,120,96.70%,1,120,1,100%,85009,85128,1,0%,,,,,,,,,,,,,,,,,,,,,,,,,
Ars-DIR2_1_-3096_-2977,Utg196392_LN:i:674541_RC:i:50_XO:i:0_pilon,691122,4,108,2.00E-50,120,96.70%,1,120,1,100%,140473,140354,-1,0%,,,,,,,,,,,,,,,,,,,,,,,,,
Ars-DIR2_1_-3096_-2977,Utg196392_LN:i:674541_RC:i:50_XO:i:0_pilon,691122,4,105,1.00E-48,120,95.80%,1,120,1,100%,79284,79165,-1,0%,,,,,,,,,,,,,,,,,,,,,,,,,
Ars-DIR2_1_-3096_-2977,Utg196392_LN:i:674541_RC:i:50_XO:i:0_pilon,691122,4,99,3.00E-45,111,96.40%,10,120,1,92.50%,140245,140135,-1,0%,,,,,,,,,,,,,,,,,,,,,,,,,
Ars-DIR2_1_-3096_-2977,Utg196392_LN:i:674541_RC:i:50_XO:i:0_pilon,691122,4,58,2.00E-22,76,92.10%,45,120,1,63.30%,14368,14443,1,0%,,,,,,,,,,,,,,,,,,,,,,,,,
Ars-DIR2_1_-3096_-2977,Utg196366_LN:i:890567_RC:i:79_XO:i:0_pilon,886783,2,108,2.00E-50,120,96.70%,1,120,1,100%,388705,388824,1,0%,,,,,,,,,,,,,,,,,,,,,,,,,
Ars-DIR2_1_-3096_-2977,Utg196366_LN:i:890567_RC:i:79_XO:i:0_pilon,886783,2,83,2.00E-36,120,90.80%,1,120,1,100%,551154,551265,1,0%,,,,,,,,,,,,,,,,,,,,,,,,,
Ars-DIR2_1_-3096_-2977,Utg196272_LN:i:173148_RC:i:11_XO:i:0_pilon,176767,2,108,2.00E-50,120,96.70%,1,120,1,100%,96945,96826,-1,0.10%,,,,,,,,,,,,,,,,,,,,,,,,,
Ars-DIR2_1_-3096_-2977,Utg196272_LN:i:173148_RC:i:11_XO:i:0_pilon,176767,2,96,1.00E-43,121,93.40%,1,120,1,100%,55890,55771,-1,0.10%,,,,,,,,,,,,,,,,,,,,,,,,,
Ars-DIR2_1_-3096_-2977,Utg199522_LN:i:373705_RC:i:12_XO:i:0_pilon,370107,1,107,9.00E-50,119,96.60%,2,120,1,99.20%,241167,241049,-1,0%,,,,,,,,,,,,,,,,,,,,,,,,,
Ars-DIR2_1_-3096_-2977,Utg198162_LN:i:120083_RC:i:20_XO:i:0_pilon,119723,1,107,9.00E-50,120,96.70%,1,120,1,100%,85987,86105,1,0.10%,,,,,,,,,,,,,,,,,,,,,,,,,
Ars-DIR2_1_-3096_-2977,Utg197728_LN:i:665407_RC:i:60_XO:i:0_pilon,675355,1,107,9.00E-50,120,96.70%,1,120,1,100%,583528,583646,1,0%,,,,,,,,,,,,,,,,,,,,,,,,,
Ars-DIR2_1_-3096_-2977,Utg197520_LN:i:452325_RC:i:54_XO:i:0_pilon,464235,2,106,3.00E-49,122,95.90%,1,120,1,100%,67268,67389,1,0%,,,,,,,,,,,,,,,,,,,,,,,,,
Ars-DIR2_1_-3096_-2977,Utg197520_LN:i:452325_RC:i:54_XO:i:0_pilon,464235,2,105,1.00E-48,120,95.80%,1,120,1,100%,79918,80037,1,0%,,,,,,,,,,,,,,,,,,,,,,,,,
Ars-DIR2_1_-3096_-2977,Utg197474_LN:i:35527_RC:i:12_XO:i:0_pilon,36589,1,106,3.00E-49,118,96.60%,3,120,1,98.30%,19732,19849,1,0.30%,,,,,,,,,,,,,,,,,,,,,,,,,
Ars-DIR2_1_-3096_-2977,Utg196472_LN:i:66705_RC:i:8_XO:i:0_pilon,66706,1,106,3.00E-49,118,96.60%,3,120,1,98.30%,49399,49516,1,0.20%,,,,,,,,,,,,,,,,,,,,,,,,,
Ars-DIR2_1_-3096_-2977,Utg196440_LN:i:134635_RC:i:8_XO:i:0_pilon,136593,2,106,3.00E-49,118,96.60%,3,120,1,98.30%,124852,124969,1,0.10%,,,,,,,,,,,,,,,,,,,,,,,,,
Ars-DIR2_1_-3096_-2977,Utg196440_LN:i:134635_RC:i:8_XO:i:0_pilon,136593,2,46,7.00E-16,81,86.40%,41,120,1,66.70%,125076,125154,1,0.10%,,,,,,,,,,,,,,,,,,,,,,,,,
Ars-DIR2_1_-3096_-2977,Utg202012_LN:i:239827_RC:i:10_XO:i:0_pilon,247574,2,105,1.00E-48,117,96.60%,4,120,1,97.50%,170190,170074,-1,0%,,,,,,,,,,,,,,,,,,,,,,,,,
Ars-DIR2_1_-3096_-2977,Utg202012_LN:i:239827_RC:i:10_XO:i:0_pilon,247574,2,52,3.00E-19,80,88.80%,41,120,1,66.70%,169967,169890,-1,0%,,,,,,,,,,,,,,,,,,,,,,,,,
Ars-DIR2_1_-3096_-2977,Utg200778_LN:i:140189_RC:i:18_XO:i:0_pilon,156027,2,105,1.00E-48,120,95.80%,1,120,1,100%,23984,23865,-1,0.10%,,,,,,,,,,,,,,,,,,,,,,,,,
Ars-DIR2_1_-3096_-2977,Utg200778_LN:i:140189_RC:i:18_XO:i:0_pilon,156027,2,47,2.00E-16,81,86.40%,41,120,1,66.70%,23758,23679,-1,0.10%,,,,,,,,,,,,,,,,,,,,,,,,,
Ars-DIR2_1_-3096_-2977,Utg200366_LN:i:265535_RC:i:25_XO:i:0_pilon,266742,2,105,1.00E-48,120,95.80%,1,120,1,100%,97269,97388,1,0%,,,,,,,,,,,,,,,,,,,,,,,,,
Ars-DIR2_1_-3096_-2977,Utg200366_LN:i:265535_RC:i:25_XO:i:0_pilon,266742,2,55,7.00E-21,89,87.60%,32,120,1,74.20%,97486,97573,1,0%,,,,,,,,,,,,,,,,,,,,,,,,,
Ars-DIR2_1_-3096_-2977,Utg200302_LN:i:349960_RC:i:31_XO:i:0_pilon,353877,2,105,1.00E-48,120,95.80%,1,120,1,100%,11346,11227,-1,0%,,,,,,,,,,,,,,,,,,,,,,,,,
Ars-DIR2_1_-3096_-2977,Utg200302_LN:i:349960_RC:i:31_XO:i:0_pilon,353877,2,45,3.00E-15,114,79.80%,1,114,1,95%,343593,343706,1,0%,,,,,,,,,,,,,,,,,,,,,,,,,
Ars-DIR2_1_-3096_-2977,Utg200172_LN:i:227747_RC:i:18_XO:i:0_pilon,236891,1,105,1.00E-48,120,95.80%,1,120,1,100%,210410,210291,-1,0.10%,,,,,,,,,,,,,,,,,,,,,,,,,
Ars-DIR2_1_-3096_-2977,Utg199638_LN:i:441322_RC:i:38_XO:i:0_pilon,442007,1,105,1.00E-48,120,95.80%,1,120,1,100%,157367,157486,1,0%,,,,,,,,,,,,,,,,,,,,,,,,,
Ars-DIR2_1_-3096_-2977,Utg199580_LN:i:778587_RC:i:59_XO:i:0_pilon,796663,2,105,1.00E-48,120,95.80%,1,120,1,100%,786222,786341,1,0%,,,,,,,,,,,,,,,,,,,,,,,,,
Ars-DIR2_1_-3096_-2977,Utg199580_LN:i:778587_RC:i:59_XO:i:0_pilon,796663,2,55,7.00E-21,104,84.60%,17,120,1,86.70%,786424,786526,1,0%,,,,,,,,,,,,,,,,,,,,,,,,,
Ars-DIR2_1_-3096_-2977,Utg199500_LN:i:271766_RC:i:9_XO:i:0_pilon,270477,1,105,1.00E-48,120,95.80%,1,120,1,100%,30021,30140,1,0%,,,,,,,,,,,,,,,,,,,,,,,,,
Ars-DIR2_1_-3096_-2977,Utg199464_LN:i:258568_RC:i:25_XO:i:0_pilon,255379,1,105,1.00E-48,121,95.90%,1,120,1,100%,205926,205806,-1,0%,,,,,,,,,,,,,,,,,,,,,,,,,
Ars-DIR2_1_-3096_-2977,Utg198702_LN:i:1520904_RC:i:115_XO:i:0_pilon,1542217,1,105,1.00E-48,117,96.60%,4,120,1,97.50%,549456,549340,-1,0%,,,,,,,,,,,,,,,,,,,,,,,,,
Ars-DIR2_1_-3096_-2977,Utg198572_LN:i:953581_RC:i:91_XO:i:0_pilon,962889,1,105,1.00E-48,120,95.80%,1,120,1,100%,934956,935075,1,0%,,,,,,,,,,,,,,,,,,,,,,,,,
Ars-DIR2_1_-3096_-2977,Utg198252_LN:i:481952_RC:i:43_XO:i:0_pilon,492468,3,105,1.00E-48,120,95.80%,1,120,1,100%,263420,263539,1,0%,,,,,,,,,,,,,,,,,,,,,,,,,
Ars-DIR2_1_-3096_-2977,Utg198252_LN:i:481952_RC:i:43_XO:i:0_pilon,492468,3,67,2.00E-27,88,92%,32,119,1,73.30%,54017,54104,1,0%,,,,,,,,,,,,,,,,,,,,,,,,,
Ars-DIR2_1_-3096_-2977,Utg198252_LN:i:481952_RC:i:43_XO:i:0_pilon,492468,3,49,2.00E-17,110,81.80%,11,120,1,91.70%,263615,263723,1,0%,,,,,,,,,,,,,,,,,,,,,,,,,
Ars-DIR2_1_-3096_-2977,Utg198188_LN:i:290595_RC:i:29_XO:i:0_pilon,290277,1,105,1.00E-48,120,95.80%,1,120,1,100%,176916,176797,-1,0%,,,,,,,,,,,,,,,,,,,,,,,,,
Ars-DIR2_1_-3096_-2977,Utg198158_LN:i:656055_RC:i:56_XO:i:0_pilon,661372,4,105,1.00E-48,120,95.80%,1,120,1,100%,326382,326501,1,0%,,,,,,,,,,,,,,,,,,,,,,,,,
Ars-DIR2_1_-3096_-2977,Utg198158_LN:i:656055_RC:i:56_XO:i:0_pilon,661372,4,95,4.00E-43,120,93.30%,1,120,1,100%,297263,297380,1,0%,,,,,,,,,,,,,,,,,,,,,,,,,
Ars-DIR2_1_-3096_-2977,Utg198158_LN:i:656055_RC:i:56_XO:i:0_pilon,661372,4,55,7.00E-21,110,83.60%,11,120,1,91.70%,326578,326686,1,0%,,,,,,,,,,,,,,,,,,,,,,,,,
Ars-DIR2_1_-3096_-2977,Utg198158_LN:i:656055_RC:i:56_XO:i:0_pilon,661372,4,46,7.00E-16,104,81.70%,11,113,1,85.80%,76497,76600,1,0%,,,,,,,,,,,,,,,,,,,,,,,,,
Ars-DIR2_1_-3096_-2977,Utg198120_LN:i:250307_RC:i:23_XO:i:0_pilon,266913,2,105,1.00E-48,120,95.80%,1,120,1,100%,125976,126095,1,0%,,,,,,,,,,,,,,,,,,,,,,,,,
Ars-DIR2_1_-3096_-2977,Utg198120_LN:i:250307_RC:i:23_XO:i:0_pilon,266913,2,52,3.00E-19,110,82.70%,11,120,1,91.70%,126172,126280,1,0%,,,,,,,,,,,,,,,,,,,,,,,,,
Ars-DIR2_1_-3096_-2977,Utg198038_LN:i:255818_RC:i:29_XO:i:0_pilon,277502,1,105,1.00E-48,120,95.80%,1,120,1,100%,163039,163158,1,0%,,,,,,,,,,,,,,,,,,,,,,,,,
Ars-DIR2_1_-3096_-2977,Utg198004_LN:i:541890_RC:i:33_XO:i:0_pilon,549983,3,105,1.00E-48,120,95.80%,1,120,1,100%,480082,480201,1,0%,,,,,,,,,,,,,,,,,,,,,,,,,
Ars-DIR2_1_-3096_-2977,Utg198004_LN:i:541890_RC:i:33_XO:i:0_pilon,549983,3,99,3.00E-45,120,94.20%,1,120,1,100%,335364,335483,1,0%,,,,,,,,,,,,,,,,,,,,,,,,,
Ars-DIR2_1_-3096_-2977,Utg198004_LN:i:541890_RC:i:33_XO:i:0_pilon,549983,3,46,7.00E-16,110,80.90%,11,120,1,91.70%,480279,480387,1,0%,,,,,,,,,,,,,,,,,,,,,,,,,
Ars-DIR2_1_-3096_-2977,Utg197958_LN:i:587222_RC:i:53_XO:i:0_pilon,588036,1,105,1.00E-48,120,95.80%,1,120,1,100%,85279,85398,1,0%,,,,,,,,,,,,,,,,,,,,,,,,,
Ars-DIR2_1_-3096_-2977,Utg197796_LN:i:445175_RC:i:37_XO:i:0_pilon,448126,2,105,1.00E-48,120,95.80%,1,120,1,100%,381098,381217,1,0%,,,,,,,,,,,,,,,,,,,,,,,,,
Ars-DIR2_1_-3096_-2977,Utg197796_LN:i:445175_RC:i:37_XO:i:0_pilon,448126,2,52,3.00E-19,89,86.50%,32,120,1,74.20%,381315,381401,1,0%,,,,,,,,,,,,,,,,,,,,,,,,,
